constraintNamt,processEntity,time,output
c1: An order must be delivered in 72,o180,648,ok
c1: An order must be delivered in 72,o185,648,ok
c1: An order must be delivered in 72,o140,648,nok
c1: An order must be delivered in 72,o184,648,ok
c1: An order must be delivered in 72,o183,648,ok
c1: An order must be delivered in 72,o160,648,ok
c1: An order must be delivered in 72,o182,648,ok
c1: An order must be delivered in 72,o178,648,ok
c1: An order must be delivered in 72,o177,648,ok
c1: An order must be delivered in 72,o110,648,nok
c1: An order must be delivered in 72,o176,648,ok
c1: An order must be delivered in 72,o175,648,ok
c1: An order must be delivered in 72,o179,648,ok
c1: An order must be delivered in 72,o170,672,ok
c1: An order must be delivered in 72,o192,672,ok
c1: An order must be delivered in 72,o191,672,ok
c1: An order must be delivered in 72,o190,672,ok
c1: An order must be delivered in 72,o130,672,nok
c1: An order must be delivered in 72,o150,672,nok
c1: An order must be delivered in 72,o194,672,ok
c1: An order must be delivered in 72,o193,672,ok
c1: An order must be delivered in 72,o189,672,ok
c1: An order must be delivered in 72,o100,672,nok
c1: An order must be delivered in 72,o188,672,ok
c1: An order must be delivered in 72,o187,672,ok
c1: An order must be delivered in 72,o120,672,nok
c1: An order must be delivered in 72,o186,672,ok
c1: An order must be delivered in 72,o80,672,nok
c1: An order must be delivered in 72,o181,672,ok
c1: An order must be delivered in 72,o180,672,ok
c1: An order must be delivered in 72,o185,672,ok
c1: An order must be delivered in 72,o140,672,nok
c1: An order must be delivered in 72,o184,672,ok
c1: An order must be delivered in 72,o183,672,ok
c1: An order must be delivered in 72,o160,672,nok
c1: An order must be delivered in 72,o182,672,ok
c1: An order must be delivered in 72,o178,672,ok
c1: An order must be delivered in 72,o110,672,nok
c1: An order must be delivered in 72,o179,672,ok
c1: An order must be delivered in 72,o80,696,nok
c1: An order must be delivered in 72,o170,696,ok
c1: An order must be delivered in 72,o192,696,ok
c1: An order must be delivered in 72,o180,696,ok
c1: An order must be delivered in 72,o191,696,ok
c1: An order must be delivered in 72,o190,696,ok
c1: An order must be delivered in 72,o130,696,nok
c1: An order must be delivered in 72,o196,696,ok
c1: An order must be delivered in 72,o140,696,nok
c1: An order must be delivered in 72,o195,696,ok
c1: An order must be delivered in 72,o150,696,nok
c1: An order must be delivered in 72,o194,696,ok
c1: An order must be delivered in 72,o160,696,nok
c1: An order must be delivered in 72,o193,696,ok
c1: An order must be delivered in 72,o189,696,ok
c1: An order must be delivered in 72,o188,696,ok
c1: An order must be delivered in 72,o199,696,ok
c1: An order must be delivered in 72,o110,696,nok
c1: An order must be delivered in 72,o187,696,ok
c1: An order must be delivered in 72,o198,696,ok
c1: An order must be delivered in 72,o120,696,nok
c1: An order must be delivered in 72,o186,696,ok
c1: An order must be delivered in 72,o197,696,ok
c1: An order must be delivered in 72,o80,720,nok
c1: An order must be delivered in 72,o170,720,nok
c1: An order must be delivered in 72,o192,720,ok
c1: An order must be delivered in 72,o180,720,ok
c1: An order must be delivered in 72,o190,720,ok
c1: An order must be delivered in 72,o130,720,nok
c1: An order must be delivered in 72,o196,720,ok
c1: An order must be delivered in 72,o140,720,nok
c1: An order must be delivered in 72,o195,720,ok
c1: An order must be delivered in 72,o150,720,nok
c1: An order must be delivered in 72,o194,720,ok
c1: An order must be delivered in 72,o160,720,nok
c1: An order must be delivered in 72,o193,720,ok
c1: An order must be delivered in 72,o200,720,ok
c1: An order must be delivered in 72,o199,720,ok
c1: An order must be delivered in 72,o198,720,ok
c1: An order must be delivered in 72,o120,720,nok
c1: An order must be delivered in 72,o197,720,ok
c1: An order must be delivered in 72,o204,720,ok
c1: An order must be delivered in 72,o203,720,ok
c1: An order must be delivered in 72,o202,720,ok
c1: An order must be delivered in 72,o201,720,ok
c1: An order must be delivered in 72,o205,720,ok
c1: An order must be delivered in 72,o80,744,nok
c1: An order must be delivered in 72,o170,744,nok
c1: An order must be delivered in 72,o180,744,nok
c1: An order must be delivered in 72,o190,744,ok
c1: An order must be delivered in 72,o130,744,nok
c1: An order must be delivered in 72,o140,744,nok
c1: An order must be delivered in 72,o150,744,nok
c1: An order must be delivered in 72,o160,744,nok
c1: An order must be delivered in 72,o193,744,ok
c1: An order must be delivered in 72,o200,744,ok
